"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33"
"4620610.07","462","Montréal","0610.07",4659.00,8.30,8464.80,52.60,45.10,41.50,5.00,1060.00,380.00,2.10,24000.00,23200.00,29.70,22.30,46.60,130.00,235.00,1825.00,1195.00,215.00,490.00,315.00,1210.00,320.00,21.00,21.40,730.00,710.00,165.00,352000.00
"4620611.01","462","Montréal","0611.01",3036.00,7.60,4290.00,38.30,63.20,15.60,450.00,540.00,0.00,2.60,27400.00,25800.00,18.70,16.20,23.20,80.00,210.00,1485.00,1125.00,295.00,420.00,355.00,790.00,220.00,15.70,21.20,790.00,814.00,70.00,400000.00
"4620611.02","462","Montréal","0611.02",5839.00,5.40,10343.70,38.10,66.00,13.80,675.00,1435.00,25.00,2.50,27800.00,26200.00,17.90,15.70,23.60,320.00,520.00,2795.00,2525.00,465.00,880.00,670.00,1645.00,495.00,26.30,19.50,800.00,827.00,225.00,420000.00
"4620612.00","462","Montréal","0612.00",4813.00,3.70,6437.90,37.60,64.70,14.00,530.00,1100.00,110.00,2.50,27400.00,26000.00,18.60,15.70,29.20,230.00,325.00,2430.00,1935.00,330.00,785.00,690.00,1220.00,430.00,22.50,23.20,770.00,844.00,175.00,400000.00
"4620613.00","462","Montréal","0613.00",7813.00,5.60,7883.20,37.80,64.70,13.90,685.00,2165.00,0.00,2.50,28400.00,26800.00,18.70,16.60,29.00,585.00,360.00,3815.00,3570.00,615.00,1280.00,1010.00,2135.00,695.00,21.50,22.30,775.00,814.00,255.00,448000.00
"4620614.00","462","Montréal","0614.00",3827.00,11.10,8607.70,39.80,66.60,15.50,320.00,930.00,215.00,2.20,29400.00,27400.00,17.20,15.00,28.60,210.00,210.00,2340.00,1325.00,200.00,475.00,560.00,1145.00,435.00,23.40,26.40,745.00,812.00,115.00,448000.00
"4620615.00","462","Montréal","0615.00",5848.00,4.70,10442.90,37.50,65.40,13.20,520.00,1465.00,90.00,2.50,27400.00,26000.00,19.00,17.30,23.60,425.00,425.00,2855.00,2665.00,550.00,955.00,670.00,1660.00,530.00,23.90,22.10,790.00,823.00,250.00,448000.00
"4620616.00","462","Montréal","0616.00",6896.00,4.30,9136.20,39.30,62.30,16.70,580.00,1790.00,75.00,2.50,27800.00,26400.00,21.00,18.70,26.00,410.00,445.00,3345.00,2855.00,565.00,975.00,690.00,2005.00,545.00,20.40,20.60,770.00,806.00,255.00,400000.00
"4620617.01","462","Montréal","0617.01",5616.00,2.90,6209.00,41.30,63.80,18.30,85.00,1045.00,165.00,2.50,30600.00,28600.00,15.80,14.00,20.60,220.00,335.00,3095.00,2140.00,305.00,585.00,1070.00,1125.00,395.00,8.50,27.00,785.00,826.00,220.00,400000.00
"4620617.02","462","Montréal","0617.02",3904.00,-0.60,5948.50,41.60,64.90,17.90,260.00,920.00,0.00,2.40,31600.00,29400.00,13.90,12.10,19.20,130.00,120.00,2545.00,1405.00,215.00,490.00,745.00,890.00,305.00,20.10,17.60,795.00,832.00,100.00,400000.00
