"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39"
"4620127.01","462","Montréal","0127.01",3225.00,2915.00,1665.00,55.80,844.00,901.00,4.10,400157.00,375.00,2915.00,21.10,230.00,42368.00,180.00,30003.00,28621.00,46.00,50.30,18513.00,18268.00,5554.00,4.00,3252.00,11425.60,36.60,77.90,13.50,2120.00,985.00,1.70,800.00,1055.00,2385.00,2075.00,120.00,280.00
"4620127.02","462","Montréal","0127.02",,,,,,,,,,,,,,,,,,,,,5.00,0.00,3.00,3.80,,,,,,,,,,,,
"4620128.00","462","Montréal","0128.00",1770.00,885.00,610.00,40.90,1121.00,1311.00,0.00,901119.00,885.00,885.00,28.20,135.00,81664.00,100.00,81792.00,65894.00,17.50,21.60,48320.00,41011.00,3491.00,-5.40,1773.00,1162.20,47.00,63.50,27.90,350.00,965.00,1.90,240.00,190.00,2065.00,1215.00,40.00,190.00
"4620129.01","462","Montréal","0129.01",2215.00,1500.00,1025.00,55.30,1258.00,1393.00,1.00,609047.00,745.00,1495.00,28.40,200.00,66304.00,100.00,58138.00,48512.00,28.70,35.10,35468.00,31296.00,3835.00,-6.60,2221.00,13484.50,46.30,66.60,27.20,240.00,1835.00,1.70,290.00,435.00,1940.00,1555.00,115.00,170.00
"4620129.02","462","Montréal","0129.02",2055.00,1775.00,1315.00,69.80,1371.00,1482.00,1.10,699534.00,315.00,1770.00,31.70,165.00,36864.00,90.00,34944.00,32384.00,42.90,52.40,20800.00,19922.00,3438.00,-7.30,2112.00,9581.90,40.60,73.80,21.70,105.00,1965.00,1.60,310.00,695.00,1315.00,1255.00,50.00,95.00
"4620130.00","462","Montréal","0130.00",2050.00,1905.00,1370.00,70.20,762.00,890.00,1.80,401101.00,190.00,1905.00,35.90,150.00,34944.00,40.00,19232.00,18731.00,57.10,60.30,12992.00,12896.00,2946.00,-0.90,2026.00,19192.20,30.80,91.50,6.30,995.00,990.00,1.40,170.00,1075.00,1040.00,800.00,10.00,105.00
"4620131.00","462","Montréal","0131.00",1990.00,1910.00,1220.00,62.80,933.00,1017.00,12.00,400032.00,95.00,1910.00,36.80,130.00,43008.00,55.00,22182.00,21685.00,52.70,55.60,16661.00,16544.00,3137.00,1.70,2067.00,29961.80,36.30,82.00,12.90,520.00,1495.00,1.50,325.00,845.00,1200.00,980.00,55.00,115.00
"4620132.00","462","Montréal","0132.00",3030.00,2765.00,1545.00,53.00,845.00,911.00,10.60,448768.00,290.00,2770.00,31.00,220.00,46592.00,95.00,28407.00,26743.00,42.20,44.80,21413.00,20850.00,4865.00,-0.80,3061.00,18214.20,42.60,76.60,19.50,1210.00,1690.00,1.40,415.00,825.00,2195.00,1335.00,90.00,175.00
"4620133.00","462","Montréal","0133.00",1405.00,1135.00,675.00,51.60,880.00,1000.00,7.90,449518.00,280.00,1135.00,33.30,130.00,48640.00,55.00,36896.00,33676.00,36.80,40.30,21899.00,21264.00,2508.00,5.10,1450.00,17237.10,35.80,83.20,9.40,745.00,510.00,1.70,305.00,410.00,1255.00,775.00,40.00,115.00
"4620134.00","462","Montréal","0134.00",605.00,280.00,230.00,52.60,1072.00,1082.00,0.00,499848.00,320.00,280.00,24.60,55.00,95232.00,20.00,64896.00,52128.00,21.30,23.80,36704.00,32608.00,1057.00,15.80,617.00,12276.40,40.70,78.70,13.70,480.00,105.00,1.70,80.00,140.00,660.00,230.00,20.00,25.00
"4620135.00","462","Montréal","0135.00",895.00,570.00,330.00,43.90,987.00,1081.00,6.10,598500.00,330.00,570.00,24.20,85.00,53568.00,55.00,54144.00,47189.00,26.10,28.60,31526.00,28608.00,1758.00,10.50,856.00,14589.20,40.70,73.60,15.60,600.00,5.00,1.90,75.00,265.00,1020.00,410.00,25.00,65.00
"4620136.00","462","Montréal","0136.00",1450.00,1030.00,560.00,49.00,917.00,999.00,5.80,469868.00,430.00,1030.00,12.90,125.00,47552.00,70.00,50158.00,44080.00,26.60,28.10,26208.00,24640.00,2774.00,1.60,1479.00,15283.70,36.40,83.80,7.90,1270.00,10.00,1.90,130.00,265.00,1680.00,760.00,50.00,125.00
"4620137.00","462","Montréal","0137.00",600.00,495.00,320.00,58.60,829.00,990.00,3.00,499866.00,105.00,495.00,30.00,90.00,56576.00,30.00,33835.00,31296.00,38.20,39.60,19872.00,19733.00,1165.00,8.20,629.00,6390.60,37.80,82.00,13.70,425.00,135.00,1.70,55.00,205.00,510.00,300.00,10.00,45.00
"4620138.00","462","Montréal","0138.00",1020.00,730.00,415.00,42.80,1129.00,1168.00,12.90,400619.00,295.00,730.00,33.90,115.00,46272.00,60.00,46976.00,42432.00,29.40,28.80,23288.00,22354.00,1994.00,-2.10,1030.00,7152.10,37.60,79.70,12.80,910.00,110.00,1.90,50.00,280.00,1145.00,515.00,35.00,90.00
"4620139.00","462","Montréal","0139.00",1690.00,1070.00,615.00,43.20,941.00,1029.00,9.30,424692.00,625.00,1070.00,25.40,185.00,55936.00,105.00,55142.00,48201.00,24.40,25.20,31728.00,28846.00,3174.00,0.50,1648.00,14394.60,35.70,81.30,7.10,1300.00,125.00,1.90,205.00,370.00,2065.00,855.00,60.00,145.00
